CREATING VECTORS
LOADING NETWORK FROM FILE
Predicted: 0.557310320880566 Actual: 0.5
Predicted: 0.617525322629848 Actual: 0.6
Predicted: 0.495768505576043 Actual: 0.6
Predicted: 0.483633918472603 Actual: 0.4
Predicted: 0.558178732877707 Actual: 0.8
Predicted: 0.656808712719654 Actual: 0.4
Predicted: 0.573977527362956 Actual: 0.4
Predicted: 0.558270701099621 Actual: 0.4
Predicted: 0.515649130569792 Actual: 0.7
Predicted: 0.496011397904577 Actual: 0.4
Predicted: 0.550181691582294 Actual: 0.5
Predicted: 0.661152061313538 Actual: 0.2
Predicted: 0.572973090655971 Actual: 0.8
Predicted: 0.516469003089074 Actual: 0.8
Predicted: 0.519177080809143 Actual: 0.6
Predicted: 0.520485642646308 Actual: 0.4
Predicted: 0.490837786875851 Actual: 0.4
Predicted: 0.470380212594545 Actual: 0.2
Predicted: 0.455026455015588 Actual: 0.6
Predicted: 0.701212716820363 Actual: 0.8
Predicted: 0.746203644354356 Actual: 1
Predicted: 0.689631971941207 Actual: 1
Predicted: 0.758771903806995 Actual: 0.8
Predicted: 0.813132557851341 Actual: 0.8
Predicted: 0.709560047572221 Actual: 0.6
Predicted: 0.733192441162323 Actual: 0.6
Predicted: 0.767490961738776 Actual: 0.8
Predicted: 0.672794532984861 Actual: 0.6
Predicted: 0.767672749412626 Actual: 1
Predicted: 0.762700838257564 Actual: 0.8
Predicted: 0.766067294840187 Actual: 0.6
Predicted: 0.745622887916805 Actual: 0.6
Predicted: 0.71402405142406 Actual: 0.6
Predicted: 0.745630615711509 Actual: 0.6
Predicted: 0.689721213970953 Actual: 0.6
Predicted: 0.704262348046394 Actual: 0.6
Predicted: 0.746300183743773 Actual: 1
Predicted: 0.672841954156885 Actual: 0.2
Predicted: 0.703464027731715 Actual: 0.6
Predicted: 0.6918715273511 Actual: 0.6
Predicted: 0.672856958471901 Actual: 0.6
Predicted: 0.734372084789379 Actual: 0.8
Predicted: 0.733287937648423 Actual: 0.8
Predicted: 0.732587154867665 Actual: 1
Predicted: 0.79171333583959 Actual: 1
Predicted: 0.691889452077043 Actual: 0.6
Predicted: 0.712579783370228 Actual: 0.8
Predicted: 0.647635931810739 Actual: 0.6
Predicted: 0.727015576121314 Actual: 0.8
Predicted: 0.733306645910265 Actual: 0.6
Predicted: 0.757414121680664 Actual: 0.8
Predicted: 0.67990046012776 Actual: 0.4
